epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,403.31,0.61604,0.74673,0.89727,0.93579,0.9859,1,0.995,0.85194,0.9859,1,0.995,0.89972,0.61939,1.94575,1.72391,1.23161,0.000873306,0.000873306,0.000873306
33,416.149,0.59678,0.54559,0.85532,0.9458,0.9937,1,0.995,0.83667,0.9937,1,0.995,0.87061,0.62805,2.37891,1.60313,1.23568,0.00088816,0.00088816,0.00088816
34,428.322,0.69538,0.98744,1.095,0.95249,0.9937,1,0.995,0.83667,0.9937,1,0.995,0.87061,0.62805,2.37891,1.60313,1.23568,0.000902222,0.000902222,0.000902222
35,440.544,0.70573,0.6922,0.95441,0.94045,0.99726,1,0.995,0.84884,0.99726,1,0.995,0.87077,0.67015,1.95467,1.45443,1.23973,0.000915492,0.000915492,0.000915492
36,453.096,0.64243,0.73721,0.89192,0.92155,1,0.99806,0.995,0.84167,1,0.99806,0.995,0.91113,0.67019,1.44323,1.41172,1.17053,0.00092797,0.00092797,0.00092797
37,465.202,0.53113,0.6127,0.9511,0.92759,1,0.99806,0.995,0.84167,1,0.99806,0.995,0.91113,0.67019,1.44323,1.41172,1.17053,0.000939656,0.000939656,0.000939656
38,477.513,0.62475,0.61035,0.83453,0.92865,1,0.9932,0.995,0.81866,1,0.9932,0.995,0.88757,0.66194,1.28945,1.38197,1.15542,0.00095055,0.00095055,0.00095055
39,489.658,0.6697,0.76246,0.98515,0.993,1,0.99625,0.995,0.82982,1,0.99625,0.995,0.86061,0.61607,1.14931,1.43335,1.13768,0.000960652,0.000960652,0.000960652
40,502.05,0.62897,0.66392,0.89227,0.93807,1,0.99625,0.995,0.82982,1,0.99625,0.995,0.86061,0.61607,1.14931,1.43335,1.13768,0.000969962,0.000969962,0.000969962
41,514.454,0.58279,0.52972,0.85473,0.93336,0.99886,1,0.995,0.84721,0.99886,1,0.995,0.8802,0.57166,1.02927,1.33744,1.02982,0.00097848,0.00097848,0.00097848
42,526.748,0.63932,0.82914,0.9105,0.97153,0.99531,1,0.995,0.77333,0.99531,1,0.995,0.86525,0.70979,0.83487,1.41098,1.09241,0.000986206,0.000986206,0.000986206
43,538.891,0.63444,0.71297,0.98019,0.97422,0.99531,1,0.995,0.77333,0.99531,1,0.995,0.86525,0.70979,0.83487,1.41098,1.09241,0.00099314,0.00099314,0.00099314
44,551.142,0.63853,0.64534,0.8913,0.9268,0.99477,1,0.995,0.84802,0.99477,1,0.995,0.92678,0.59072,0.65856,1.20322,1.06483,0.000999282,0.000999282,0.000999282
45,563.392,0.46133,0.59766,0.76899,0.87061,0.99477,1,0.995,0.84802,0.99477,1,0.995,0.92678,0.59072,0.65856,1.20322,1.06483,0.00100463,0.00100463,0.00100463
46,575.544,0.54354,0.63939,0.87707,0.91928,0.99245,1,0.995,0.86714,0.99245,1,0.995,0.90068,0.62309,0.55529,1.15225,1.09691,0.00100919,0.00100919,0.00100919
47,587.685,0.49589,0.46703,0.76826,0.91288,0.99245,1,0.995,0.86714,0.99245,1,0.995,0.90068,0.62309,0.55529,1.15225,1.09691,0.00101296,0.00101296,0.00101296
48,599.921,0.54615,0.70015,0.83949,0.90225,0.99077,1,0.995,0.88745,0.99077,1,0.995,0.94574,0.55647,0.52419,1.11548,0.97153,0.00101593,0.00101593,0.00101593
49,612.058,0.59918,0.65166,0.87404,0.91236,0.99077,1,0.995,0.88745,0.99077,1,0.995,0.94574,0.55647,0.52419,1.11548,0.97153,0.00101811,0.00101811,0.00101811
50,624.385,0.44852,0.46811,0.74525,0.881,1,0.9853,0.995,0.89396,1,0.9853,0.995,0.92211,0.50558,0.58543,1.14594,0.97577,0.0010195,0.0010195,0.0010195
51,636.804,0.5301,0.64479,0.80303,0.87971,1,0.9853,0.995,0.89396,1,0.9853,0.995,0.92211,0.50558,0.58543,1.14594,0.97577,0.00101,0.00101,0.00101
52,649.077,0.57128,0.61611,0.86515,0.96334,0.99642,1,0.995,0.87661,0.99642,1,0.995,0.91993,0.51561,0.56894,1.10582,0.95609,0.0009902,0.0009902,0.0009902
53,661.185,0.47144,0.50954,0.77991,0.92142,0.99642,1,0.995,0.87661,0.99642,1,0.995,0.91993,0.51561,0.56894,1.10582,0.95609,0.0009704,0.0009704,0.0009704
54,673.351,0.55885,0.59407,0.78121,0.90691,0.99586,1,0.995,0.85862,0.99586,1,0.995,0.89108,0.53906,0.5394,0.95373,0.99325,0.0009506,0.0009506,0.0009506
55,685.499,0.46922,0.49757,0.75403,0.89624,0.99586,1,0.995,0.85862,0.99586,1,0.995,0.89108,0.53906,0.5394,0.95373,0.99325,0.0009308,0.0009308,0.0009308
56,697.677,0.6349,0.67621,0.92507,0.9716,0.9957,1,0.995,0.83651,0.9957,1,0.995,0.86935,0.68869,0.64144,1.00726,1.14908,0.000911,0.000911,0.000911
57,709.798,0.53674,0.52548,0.76941,0.90461,0.9957,1,0.995,0.83651,0.9957,1,0.995,0.86935,0.68869,0.64144,1.00726,1.14908,0.0008912,0.0008912,0.0008912
58,721.95,0.50465,0.48254,0.77433,0.89397,0.99543,1,0.995,0.85216,0.99543,1,0.995,0.89948,0.63968,0.75959,0.91403,1.13264,0.0008714,0.0008714,0.0008714
59,734.143,0.55706,0.5954,0.76388,0.87802,0.99543,1,0.995,0.85216,0.99543,1,0.995,0.89948,0.63968,0.75959,0.91403,1.13264,0.0008516,0.0008516,0.0008516
60,746.314,0.51461,0.52061,0.78052,0.91054,0.9947,1,0.995,0.85698,0.9947,1,0.995,0.8875,0.57866,0.96958,0.90805,1.08274,0.0008318,0.0008318,0.0008318
61,758.52,0.42137,0.49079,0.67256,0.84132,0.9947,1,0.995,0.85698,0.9947,1,0.995,0.8875,0.57866,0.96958,0.90805,1.08274,0.000812,0.000812,0.000812
62,770.728,0.39574,0.41434,0.66146,0.85653,0.99394,1,0.995,0.86856,0.99394,1,0.995,0.87559,0.54606,1.26061,0.86649,1.10897,0.0007922,0.0007922,0.0007922
63,782.847,0.51439,0.6434,0.76743,0.93502,0.99394,1,0.995,0.86856,0.99394,1,0.995,0.87559,0.54606,1.26061,0.86649,1.10897,0.0007724,0.0007724,0.0007724
64,795.118,0.48503,0.54096,0.68725,0.89545,0.99378,1,0.995,0.85222,0.99378,1,0.995,0.87552,0.53709,1.4129,0.90116,1.11793,0.0007526,0.0007526,0.0007526
65,807.226,0.46743,0.76226,0.80889,0.8651,0.99378,1,0.995,0.85222,0.99378,1,0.995,0.87552,0.53709,1.4129,0.90116,1.11793,0.0007328,0.0007328,0.0007328
66,819.644,0.51206,0.60768,0.75467,0.8946,0.99356,1,0.995,0.83557,0.99356,1,0.995,0.87752,0.54463,1.59898,0.92599,1.12999,0.000713,0.000713,0.000713
67,831.773,0.55492,0.49574,0.75918,0.92729,0.99356,1,0.995,0.83557,0.99356,1,0.995,0.87752,0.54463,1.59898,0.92599,1.12999,0.0006932,0.0006932,0.0006932
68,844.033,0.43981,0.41609,0.62662,0.86332,0.99329,1,0.995,0.86279,0.99329,1,0.995,0.891,0.5846,1.93079,0.95391,1.19297,0.0006734,0.0006734,0.0006734
69,856.163,0.46844,0.4669,0.68094,0.89031,0.99329,1,0.995,0.86279,0.99329,1,0.995,0.891,0.5846,1.93079,0.95391,1.19297,0.0006536,0.0006536,0.0006536
70,868.404,0.44908,0.40967,0.63271,0.87594,0.99354,1,0.995,0.88996,0.99354,1,0.995,0.88928,0.542,1.98184,0.83823,1.16849,0.0006338,0.0006338,0.0006338
