epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.7364,0.9097,2.18155,2.91587,1.15209,0.0034,1,0.01749,0.01352,0.0034,1,0.02059,0.01534,0.9317,2.24661,3.14816,1.43849,2e-05,2e-05,2e-05
2,5.52372,0.70686,1.55826,2.96533,1.08233,0.00344,1,0.02758,0.01972,0.00344,1,0.02351,0.02197,0.92253,2.26032,3.10699,1.43447,5.9406e-05,5.9406e-05,5.9406e-05
3,6.75036,0.95554,2.4653,2.91986,1.16671,0.00344,1,0.01885,0.01343,0.00344,1,0.02442,0.01505,0.95862,2.29334,3.10036,1.45147,9.802e-05,9.802e-05,9.802e-05
4,7.96031,0.99401,2.40248,3.07741,1.26755,0.00343,1,0.02666,0.01182,0.00343,1,0.03494,0.01481,0.93277,2.33924,3.08893,1.42866,0.000135842,0.000135842,0.000135842
5,9.19302,0.92288,2.0092,2.98108,1.19148,0.00335,1,0.52523,0.35565,0.00335,1,0.52523,0.39291,0.85848,1.92977,2.75896,1.19281,0.000172872,0.000172872,0.000172872
6,10.6406,0.89478,1.23174,2.79981,1.08657,0.00335,1,0.87626,0.62403,0.00335,1,0.87626,0.6634,0.89069,1.54858,2.63128,1.1148,0.00020911,0.00020911,0.00020911
7,12.0932,0.69105,0.89664,2.42962,0.96036,0.00333,1,0.87978,0.63849,0.00292,0.875,0.87518,0.69729,0.93642,2.2569,2.58721,1.08378,0.000244556,0.000244556,0.000244556
8,13.5423,0.74158,0.74147,2.13393,0.95868,0.00333,1,0.87562,0.61483,0.00292,0.875,0.87518,0.622,0.92721,3.307,2.56557,1.13518,0.00027921,0.00027921,0.00027921
9,14.9371,0.93148,0.91342,1.97883,1.01231,0.00333,1,0.88579,0.61068,0.00292,0.875,0.87518,0.60812,0.92778,3.42064,2.54722,1.12247,0.000313072,0.000313072,0.000313072
10,16.3583,0.73091,0.89165,1.84305,0.96639,0.00333,1,0.88567,0.61501,0.00292,0.875,0.87518,0.61885,0.85196,3.72292,2.52809,1.08537,0.000346142,0.000346142,0.000346142
11,17.7534,0.64769,0.71688,1.71314,0.95114,0.00333,1,0.88293,0.6014,0.00292,0.875,0.87518,0.58901,0.89463,4.22179,2.49971,1.15711,0.00037842,0.00037842,0.00037842
12,19.1636,0.6484,0.81902,1.45485,0.9211,0.00333,1,0.88603,0.60204,0.00292,0.875,0.87518,0.60976,0.86698,4.18493,2.42201,1.21155,0.000409906,0.000409906,0.000409906
13,20.5682,0.64838,0.97294,1.40819,0.94931,0.00333,1,0.88216,0.61545,0.00292,0.875,0.87518,0.61254,0.94456,4.08448,2.37921,1.28003,0.0004406,0.0004406,0.0004406
14,21.9913,0.72318,0.89946,1.36668,0.94848,0.00333,1,0.87541,0.60486,0.00292,0.875,0.87518,0.62443,1.04468,3.90333,2.35438,1.2654,0.000470502,0.000470502,0.000470502
