epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,44.9611,0.65359,0.63457,0.8855,0.92396,1,0.793,0.9134,0.70324,1,0.793,0.87518,0.67643,0.84778,3.75547,2.04058,1.0197,0.00085766,0.00085766,0.00085766
32,46.3624,0.64677,0.60588,0.8823,0.89425,1,0.81584,0.879,0.70194,1,0.81584,0.87518,0.67957,0.77901,3.42431,1.98295,1.04302,0.000873306,0.000873306,0.000873306
33,47.7761,0.60054,0.68809,0.83299,0.88534,1,0.79736,0.88196,0.68863,1,0.79736,0.87518,0.69752,0.78242,3.31164,1.89445,1.01366,0.00088816,0.00088816,0.00088816
34,49.1613,0.59585,0.55,0.83505,0.92239,1,0.79736,0.88196,0.68863,1,0.79736,0.87518,0.69752,0.78242,3.31164,1.89445,1.01366,0.000902222,0.000902222,0.000902222
35,50.7111,0.56152,0.76822,0.78532,0.89623,1,0.77109,0.88797,0.72691,1,0.77109,0.88797,0.73139,0.77424,2.30758,1.76575,1.0069,0.000915492,0.000915492,0.000915492
36,52.1534,0.55154,0.62634,0.824,0.91621,1,0.74803,0.995,0.79213,1,0.74803,0.995,0.77205,0.71692,1.58472,1.64946,0.94198,0.00092797,0.00092797,0.00092797
37,53.5442,0.63923,0.5467,0.85105,0.93935,1,0.74803,0.995,0.79213,1,0.74803,0.995,0.77205,0.71692,1.58472,1.64946,0.94198,0.000939656,0.000939656,0.000939656
38,54.9485,0.59388,0.53352,0.81285,0.94062,1,0.89345,0.995,0.80754,1,0.89345,0.995,0.79344,0.77194,1.57826,1.64182,0.98408,0.00095055,0.00095055,0.00095055
39,56.3568,0.57302,0.54849,0.78144,0.94244,1,0.94821,0.995,0.76323,1,0.94821,0.995,0.76064,0.84639,1.90852,1.67861,1.03584,0.000960652,0.000960652,0.000960652
40,57.7375,0.63213,0.57817,0.82654,0.92872,1,0.94821,0.995,0.76323,1,0.94821,0.995,0.76064,0.84639,1.90852,1.67861,1.03584,0.000969962,0.000969962,0.000969962
41,59.1392,0.60431,0.6545,0.76367,0.90488,1,0.95236,0.995,0.78599,1,0.95236,0.995,0.79753,0.82029,1.81851,1.62932,1.0195,0.00097848,0.00097848,0.00097848
42,60.681,0.53211,0.5163,0.75842,0.90292,1,0.97753,0.995,0.72862,1,0.97753,0.995,0.77997,0.8447,1.7261,1.62946,1.0084,0.000986206,0.000986206,0.000986206
43,62.0928,0.64785,0.57976,0.71604,0.90133,1,0.97753,0.995,0.72862,1,0.97753,0.995,0.77997,0.8447,1.7261,1.62946,1.0084,0.00099314,0.00099314,0.00099314
44,63.5164,0.62299,0.57584,0.8044,0.89409,1,0.97254,0.995,0.69068,1,0.97254,0.995,0.72535,0.89264,2.16467,1.62475,1.04616,0.000999282,0.000999282,0.000999282
45,64.8906,0.59189,0.56434,0.81764,0.93523,1,0.97254,0.995,0.69068,1,0.97254,0.995,0.72535,0.89264,2.16467,1.62475,1.04616,0.00100463,0.00100463,0.00100463
46,66.3135,0.6147,0.65021,0.72702,0.88441,1,0.97701,0.995,0.69556,1,0.97701,0.995,0.72101,0.77831,1.76208,1.52386,0.99953,0.00100919,0.00100919,0.00100919
47,67.7055,0.62603,0.62791,0.74535,0.92301,1,0.97701,0.995,0.69556,1,0.97701,0.995,0.72101,0.77831,1.76208,1.52386,0.99953,0.00101296,0.00101296,0.00101296
48,69.2669,0.58949,0.71706,0.73163,0.92468,1,0.94748,0.995,0.78293,1,0.94748,0.995,0.83466,0.7988,1.16309,1.48178,1.00289,0.00101593,0.00101593,0.00101593
49,70.6961,0.63024,0.60576,0.7453,0.88707,1,0.94748,0.995,0.78293,1,0.94748,0.995,0.83466,0.7988,1.16309,1.48178,1.00289,0.00101811,0.00101811,0.00101811
50,72.1202,0.56146,0.52726,0.72834,0.89149,1,0.89761,0.995,0.77987,1,0.89761,0.995,0.80559,0.70219,0.92827,1.49552,1.00011,0.0010195,0.0010195,0.0010195
51,73.5043,0.55601,0.56987,0.72663,0.88795,1,0.89761,0.995,0.77987,1,0.89761,0.995,0.80559,0.70219,0.92827,1.49552,1.00011,0.00101,0.00101,0.00101
52,74.9223,0.51134,0.64765,0.7495,0.91841,1,0.8832,0.995,0.77384,1,0.8832,0.995,0.81648,0.65901,1.01197,1.50597,0.9462,0.0009902,0.0009902,0.0009902
