epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,71.9708,0.58973,0.59711,0.51535,0.94663,1,0.875,0.995,0.86792,1,0.875,0.995,0.8531,0.68629,0.85762,3.28386,1.15407,0.00085766,0.00085766,0.00085766
32,74.3056,0.59568,0.49587,0.45418,0.97066,1,0.625,0.995,0.80349,1,0.625,0.995,0.86997,0.69216,1.20161,2.31965,1.19274,0.000873306,0.000873306,0.000873306
33,76.6497,0.60089,0.65123,0.50632,0.98556,0.98571,1,0.995,0.80753,0.98571,1,0.995,0.86673,0.69911,0.67486,1.55581,1.18693,0.00088816,0.00088816,0.00088816
34,78.9631,0.595,0.59732,0.51259,0.9786,0.98571,1,0.995,0.80753,0.98571,1,0.995,0.86673,0.69911,0.67486,1.55581,1.18693,0.000902222,0.000902222,0.000902222
35,81.2907,0.61567,0.57248,0.49762,0.95084,0.69795,0.875,0.93147,0.81517,0.69795,0.875,0.93147,0.87424,0.64075,0.69461,1.80115,1.1342,0.000915492,0.000915492,0.000915492
36,83.6321,0.59979,0.62056,0.4936,0.95212,0.73188,0.875,0.92833,0.85635,0.73188,0.875,0.92833,0.85697,0.43925,1.02378,2.43609,0.9342,0.00092797,0.00092797,0.00092797
37,85.9393,0.56163,0.55484,0.46,0.93003,0.73188,0.875,0.92833,0.85635,0.73188,0.875,0.92833,0.85697,0.43925,1.02378,2.43609,0.9342,0.000939656,0.000939656,0.000939656
38,88.2679,0.59832,0.56778,0.45634,0.96749,0.79652,0.98041,0.971,0.83902,0.79652,0.98041,0.971,0.85042,0.52393,1.37654,2.71917,0.95577,0.00095055,0.00095055,0.00095055
39,90.629,0.59693,0.50223,0.43122,0.95826,1,0.99578,0.995,0.78345,1,0.99578,0.995,0.82631,0.64952,1.71581,2.53281,1.06465,0.000960652,0.000960652,0.000960652
40,92.928,0.55637,0.55576,0.48016,0.9384,1,0.99578,0.995,0.78345,1,0.99578,0.995,0.82631,0.64952,1.71581,2.53281,1.06465,0.000969962,0.000969962,0.000969962
41,95.2675,0.595,0.54377,0.4446,0.98186,0.97122,1,0.995,0.81811,0.97122,1,0.995,0.83307,0.57601,1.37044,2.05272,1.05619,0.00097848,0.00097848,0.00097848
42,97.6172,0.44754,0.49407,0.38627,0.89484,0.7921,1,0.98167,0.87276,0.7921,1,0.98167,0.90362,0.59306,0.81411,1.78783,1.08214,0.000986206,0.000986206,0.000986206
43,100.097,0.58987,0.66306,0.43269,0.93451,0.7921,1,0.98167,0.87276,0.7921,1,0.98167,0.90362,0.59306,0.81411,1.78783,1.08214,0.00099314,0.00099314,0.00099314
44,102.572,0.54249,0.53571,0.45205,0.95089,0.78074,1,0.821,0.68877,0.78074,1,0.821,0.72781,0.61393,0.80551,1.05056,1.11432,0.000999282,0.000999282,0.000999282
45,104.855,0.54664,0.70167,0.41099,0.93365,0.78074,1,0.821,0.68877,0.78074,1,0.821,0.72781,0.61393,0.80551,1.05056,1.11432,0.00100463,0.00100463,0.00100463
46,107.31,0.52599,0.48327,0.39829,0.87364,0.20253,0.875,0.25364,0.23121,0.20253,0.875,0.25364,0.21529,0.53731,1.36412,2.33286,1.03413,0.00100919,0.00100919,0.00100919
47,109.621,0.57006,0.57641,0.44463,0.92831,0.20253,0.875,0.25364,0.23121,0.20253,0.875,0.25364,0.21529,0.53731,1.36412,2.33286,1.03413,0.00101296,0.00101296,0.00101296
48,111.946,0.51741,0.45817,0.40368,0.93181,0.82876,1,0.96722,0.84133,0.82876,1,0.96722,0.80787,0.58166,1.15991,1.52388,1.08863,0.00101593,0.00101593,0.00101593
49,114.248,0.51901,0.60333,0.42775,0.88653,0.82876,1,0.96722,0.84133,0.82876,1,0.96722,0.80787,0.58166,1.15991,1.52388,1.08863,0.00101811,0.00101811,0.00101811
50,116.56,0.48554,0.51523,0.40116,0.90464,0.98454,1,0.995,0.86519,0.98454,1,0.995,0.85235,0.60452,0.7275,0.75525,1.13673,0.0010195,0.0010195,0.0010195
51,118.849,0.46991,0.48559,0.38259,0.89563,0.98454,1,0.995,0.86519,0.98454,1,0.995,0.85235,0.60452,0.7275,0.75525,1.13673,0.00101,0.00101,0.00101
52,121.173,0.50606,0.54041,0.40986,0.9228,0.97665,1,0.995,0.85528,0.97665,1,0.995,0.90439,0.62971,0.67683,0.74638,1.20205,0.0009902,0.0009902,0.0009902
53,123.463,0.47387,0.48157,0.37276,0.87966,0.97665,1,0.995,0.85528,0.97665,1,0.995,0.90439,0.62971,0.67683,0.74638,1.20205,0.0009704,0.0009704,0.0009704
54,125.812,0.49804,0.49927,0.40466,0.90092,0.97818,1,0.995,0.84616,0.97818,1,0.995,0.8916,0.62163,0.62456,0.76994,1.24216,0.0009506,0.0009506,0.0009506
55,128.099,0.49995,0.53344,0.43738,0.9081,0.97818,1,0.995,0.84616,0.97818,1,0.995,0.8916,0.62163,0.62456,0.76994,1.24216,0.0009308,0.0009308,0.0009308
56,130.463,0.52867,0.52193,0.41209,0.92984,0.97615,1,0.995,0.85915,0.97615,1,0.995,0.92516,0.55039,0.61657,0.71979,1.0781,0.000911,0.000911,0.000911
57,132.911,0.42906,0.44263,0.32873,0.89595,0.97615,1,0.995,0.85915,0.97615,1,0.995,0.92516,0.55039,0.61657,0.71979,1.0781,0.0008912,0.0008912,0.0008912
58,135.432,0.53596,0.51118,0.38476,0.9656,0.97269,1,0.995,0.87417,0.97269,1,0.995,0.93569,0.58688,0.60664,0.75376,1.09533,0.0008714,0.0008714,0.0008714
59,137.885,0.61968,0.55828,0.46258,0.98175,0.97269,1,0.995,0.87417,0.97269,1,0.995,0.93569,0.58688,0.60664,0.75376,1.09533,0.0008516,0.0008516,0.0008516
60,140.409,0.6026,0.51972,0.43129,0.93655,0.9724,1,0.995,0.88634,0.9724,1,0.995,0.92799,0.51652,0.68814,0.72603,1.01172,0.0008318,0.0008318,0.0008318
61,142.873,0.54416,0.59908,0.3949,0.94974,0.9724,1,0.995,0.88634,0.9724,1,0.995,0.92799,0.51652,0.68814,0.72603,1.01172,0.000812,0.000812,0.000812
62,145.358,0.40634,0.40327,0.32051,0.88166,0.97636,1,0.995,0.90237,0.97636,1,0.995,0.9138,0.52127,0.71819,0.58987,1.05161,0.0007922,0.0007922,0.0007922
63,147.817,0.57052,0.52453,0.41342,0.93398,0.97636,1,0.995,0.90237,0.97636,1,0.995,0.9138,0.52127,0.71819,0.58987,1.05161,0.0007724,0.0007724,0.0007724
64,150.319,0.50561,0.49648,0.38046,0.88198,0.9847,1,0.995,0.86792,0.9847,1,0.995,0.91306,0.50289,0.76761,0.54881,1.03002,0.0007526,0.0007526,0.0007526
65,152.691,0.47056,0.49077,0.38441,0.93597,0.9847,1,0.995,0.86792,0.9847,1,0.995,0.91306,0.50289,0.76761,0.54881,1.03002,0.0007328,0.0007328,0.0007328
66,155.012,0.50752,0.54967,0.41775,0.9487,0.98947,1,0.995,0.86238,0.98947,1,0.995,0.91556,0.52951,0.62476,0.51905,0.98505,0.000713,0.000713,0.000713
67,157.303,0.47887,0.50219,0.35305,0.86573,0.98947,1,0.995,0.86238,0.98947,1,0.995,0.91556,0.52951,0.62476,0.51905,0.98505,0.0006932,0.0006932,0.0006932
68,159.628,0.45948,0.40675,0.35508,0.91755,0.99277,1,0.995,0.88612,0.99277,1,0.995,0.91771,0.52395,0.51486,0.43955,0.97375,0.0006734,0.0006734,0.0006734
69,161.94,0.46817,0.50727,0.3527,0.94929,0.99277,1,0.995,0.88612,0.99277,1,0.995,0.91771,0.52395,0.51486,0.43955,0.97375,0.0006536,0.0006536,0.0006536
70,164.278,0.51454,0.52978,0.39243,0.91544,0.99365,1,0.995,0.87188,0.99365,1,0.995,0.92513,0.53602,0.48708,0.41011,0.98503,0.0006338,0.0006338,0.0006338
71,166.584,0.51738,0.45883,0.39915,0.93352,0.99365,1,0.995,0.87188,0.99365,1,0.995,0.92513,0.53602,0.48708,0.41011,0.98503,0.000614,0.000614,0.000614
72,168.945,0.40874,0.39928,0.34133,0.89146,0.99407,1,0.995,0.88707,0.99407,1,0.995,0.93389,0.47542,0.46933,0.31153,0.94035,0.0005942,0.0005942,0.0005942
73,171.445,0.46628,0.49659,0.3466,0.95574,0.99407,1,0.995,0.88707,0.99407,1,0.995,0.93389,0.47542,0.46933,0.31153,0.94035,0.0005744,0.0005744,0.0005744
74,173.953,0.44767,0.41382,0.3374,0.87162,0.99406,1,0.995,0.88584,0.99406,1,0.995,0.9344,0.48277,0.447,0.29478,0.94863,0.0005546,0.0005546,0.0005546
75,176.268,0.43798,0.45334,0.32407,0.88043,0.99406,1,0.995,0.88584,0.99406,1,0.995,0.9344,0.48277,0.447,0.29478,0.94863,0.0005348,0.0005348,0.0005348
