epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7721,0.72724,6.24368,3.0016,1.10456,0.01076,0.98824,0.9176,0.73091,0.0038,0.56833,0.38144,0.28574,0.57753,4.43654,2.72734,0.93329,0.00035007,0.00035007,0.00035007
2,23.1063,0.68578,3.5576,1.7055,0.98689,0.02013,0.96471,0.91238,0.69032,0.00375,0.59397,0.12213,0.06416,0.79586,12.4908,2.61,1.01654,0.000709714,0.000709714,0.000709714
3,33.9423,0.74314,3.30764,1.16128,0.99368,0.92303,0.72614,0.95222,0.73195,0.49239,0.30405,0.36044,0.25193,0.84798,4.56561,1.82022,1.09472,0.0010621,0.0010621,0.0010621
4,44.7116,0.71253,3.09733,1.04843,0.97682,0.8424,0.75249,0.88641,0.6766,0.44975,0.35287,0.32895,0.27049,0.82797,3.82503,1.31928,1.07725,0.00140722,0.00140722,0.00140722
5,55.4685,0.69807,3.1826,0.95857,0.95726,0.8324,0.78767,0.85868,0.60822,0.39314,0.36569,0.28658,0.20831,0.8238,3.82728,1.41771,1.07345,0.00160099,0.00160099,0.00160099
6,66.2278,0.69077,3.07751,0.89683,0.96845,0.98057,0.90969,0.9811,0.70784,0.52833,0.5138,0.42965,0.3469,0.81617,3.10513,1.0003,1.06236,0.00158448,0.00158448,0.00158448
7,76.991,0.70054,3.02913,0.88012,0.972,0.93761,0.93265,0.96391,0.79355,0.4417,0.43793,0.38421,0.34392,0.72406,2.92622,0.8366,0.99471,0.00156798,0.00156798,0.00156798
8,88.5775,0.67694,2.94347,0.82443,0.96123,0.88131,0.41179,0.51792,0.41309,0.38577,0.18824,0.20084,0.1582,1.21705,4.08288,2.72808,1.44203,0.00155148,0.00155148,0.00155148
9,99.737,0.63967,3.03386,0.7888,0.96198,0.84903,0.86015,0.95472,0.81199,0.48562,0.46199,0.43992,0.3714,0.65017,2.49583,0.85017,0.96855,0.00153497,0.00153497,0.00153497
10,110.772,0.62085,2.81226,0.75541,0.94639,0.87468,0.90324,0.95392,0.79442,0.63381,0.54103,0.47761,0.37306,0.65826,2.49665,0.85657,0.97369,0.00151847,0.00151847,0.00151847
